Title,Year,Station,Statistic,Month,Value,Latitude ,logitude,Unit,Sourse
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Apr,25.7,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,May,25.2,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Jun,24.8,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Jul,24.2,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Aug,24.2,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Sep,24,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Oct,22.1,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Nov,18.1,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Mean min.,Dec,16.7,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Jan,32.7,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Feb,34.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Mar,39.8,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Apr,41.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,May,40,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Jun,39.2,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Jul,36.5,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
อุณหภูมิ,2535,สอต.เพชรบูรณ์ อ.เมือง จ.เพชรบูรณ์,Ext. max.,Aug,34.8,16.43466742,101.1520662,องศาเซลเซียส,สถานีอุตุนิยมวิทยาจังหวัดเพชรบูรณ์
